id,name,adress,zipcode,dist_code,stype
393,393 ADOLFO PRIETO-FELIX CUEVAS,393 - Adolfo Prieto-Felix Cuevas,3200,TLA,"BIKE,TPV"
394,394 DR. ROBERTO GAYOL-FELIX CUEVAS,394 - Dr. Roberto Gayol-Felix Cuevas,3104,DVS,BIKE
395,395 SAN LORENZO-CALLEJÓN MARTÍN MENLALDE,395 - San Lorenzo-Callejón Martín Menlalde,3104,DVS,BIKE
396,396 MARTÍN MENLALDE-FELIX CUEVAS,396 - Martín Menlalde-Felix Cuevas,3104,DVS,BIKE
397,397 SAN LORENZO-GABRIEL MANCERA,397 - San Lorenzo-Gabriel Mancera,3104,DVS,BIKE
398,398 SANCHEZ AZCONA-FELIX CUEVAS,398 - Sanchez Azcona-Felix Cuevas,3104,DVS,BIKE
399,399 HERIBERTO FRÍAS-SAN LORENZO,399 - Heriberto Frías-San Lorenzo,3104,DVS,BIKE
400,400 SAN LORENZO-HERIBERTO FRIAS,400 - San Lorenzo-Heriberto Frias,3104,DVS,BIKE
401,401 SAN LORENZO-AVENIDA CUAUHTEMOC,401 - San Lorenzo-Avenida Cuauhtemoc,3310,SCA,BIKE
402,402 UXMAL-MUNICIPIO LIBRE,402 - Uxmal-Municipio Libre,3310,1,"BIKE,TPV"
403,403 UXMAL-MUNICIPIO LIBRE,403 - Uxmal-Municipio Libre,3310,SCA,BIKE
404,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,404 - Miguel Laurent-Avenida División Del Norte,3650,LEV,BIKE
405,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,405 - División Del Norte-Municipio Libre,3303,PON,BIKE
406,406 PARROQUIA AV. MEXICO-COYOACAN,406 - Parroquia Av. Mexico-Coyoacan,3310,SCA,BIKE
407,407 PROL. XOCHICALCO-GENERAL EMILIANO ZAPATA,407 - Prolongación Xochicalco-General Emiliano Zapat,3320,REE,BIKE
408,408 PROLONGACIÓN PETÉN-GENERAL EMILIANO ZAPATA,408 - Prolongación Petén-General Emiliano Zapata,3320,REE,BIKE
409,409 AZORES-DIVISIÓN DEL NORTE,409 - Azores-División Del Norte,3310,SCA,BIKE
410,410 PROLONGACIÓN TAJÍN-PROLONGACIÓN REPÚBLICAS,410 - Prolongación Tajín-Prolongación Repúblicas,3310,SCA,BIKE
411,411 PARROQUIA-AVENIDA MÉXICO-COYOACAN,411 - Parroquia-Avenida México-Coyoacan,3310,SCA,BIKE
412,412 PARROQUIA-AVENIDA UNIVERSIDAD,412 - Parroquia-Avenida Universidad,3310,SCA,"BIKE,TPV"
413,413 PARROQUIA-AVENIDA COYOACÁN,413 - Parroquia-Avenida Coyoacán,3104,DVS,BIKE
414,414 PARROQUIA-JOSÉ IGNACIO BARTOLACHE,414 - Parroquia-José Ignacio Bartolache,3104,DVS,BIKE
415,415 SAN FRANCISCO-PARROQUÍA,415 - San Francisco-Parroquía,3104,DVS,BIKE
416,416 RECREO-PARROQUÍA,416 - Recreo-Parroquía,3104,1,BIKE
417,417 GOYA-AUGUSTO RODÍN,417 - Goya-Augusto Rodín,3920,INM,"BIKE,TPV"
418,418 GALICIA-ACTIPAN,418 - Galicia-Actipan,3920,INM,BIKE
419,419 ACTIPAN-CADIZ,419 - Actipan-Cadiz,3920,INM,BIKE
420,420 MARÍA LUZ BRINGAS-OSO,420 - María Luz Bringas-Oso,3230,ACT,BIKE
421,421 MARÍA LUZ BRINGAS-OSO,421 - María Luz Bringas-Oso,3230,ACT,BIKE
422,422 BUFALO-JOSÉ MARÍA RICO (EJE 8),422 - Bufalo-José María Rico (Eje 8),3230,ACT,BIKE
423,423 MORAS-JOSÉ MARÍA RICO (EJE 8),423 - Moras-José María Rico (Eje 8),3240,ACA,BIKE
424,424 AMORES-JOSÉ MARÍA RICO (EJE 8),424 - Amores-José María Rico (Eje 8),3104,DVS,BIKE
425,425 NICOLAS SAN JUAN-AVENIDA UNIVERSIDAD,425 - Nicolas San Juan-Avenida Universidad,3104,DVS,BIKE
426,426 CERRADA DE POPOCATEPETL-AV. POPOCATEPETL (EJE ,426 - Cerrada De Popocatepetl-Av. Popocatepetl (Eje,3330,XOC,BIKE
427,427 AVENIDA MÉXICO-COYOACAN-AV. POPOCATEPETL (EJE ,427 - Avenida México-Coyoacan-Av. Popocatepetl (Eje,3310,SCA,BIKE
428,428 PROLONGACIÓN UXMAL-AV. POPOCATEPETL (EJE 8),428 - Prolongación Uxmal-Av. Popocatepetl (Eje 8),3340,GPM,BIKE
429,429 PIRINEOS-AV. POPOCATEPETL (EJE 8),429 - Pirineos-Av. Popocatepetl (Eje 8),3310,SCA,BIKE
430,430 TRIPOLI-AV. POPOCATEPETL (EJE 8),430 - Tripoli-Av. Popocatepetl (Eje 8),3310,SCA,BIKE
431,431 BRUNO TRAVEN-PAZ MONTES DE OCA,431 - Bruno Traven-Paz Montes De Oca,3340,GPM,BIKE
432,432 CARRILLO PUERTO-AV. MÉXICO-COYOACÁN,432 - Carrillo Pto-Golondrinas,3340,GPM,BIKE
433,433 JOSE MARÍA OLLOQUI-LOPÉZ COSTILLA,433 - Jose María Olloqui-Lopéz Costilla,3104,DVS,BIKE
434,434 JOSE MARÍA OLLOQUI-AMORES,434 - Jose María Olloqui-Amores,3104,DVS,"BIKE,TPV"
435,435 RODRIGUEZ SARO-AVENIDA COYOACÁN,435 - Rodriguez Saro-Avenida Coyoacán,3230,ACT,BIKE
436,436 RODRIGUEZ SARO-BUFALLO,436 - Rodriguez Saro-Bufallo,3240,ACA,BIKE
437,437 MORAS-COMUNAL,437 - Moras-Comunal,3240,1,BIKE
438,438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,438 - Adolfo Prieto-José María Olloqui,3240,1,BIKE
439,439 AMORES-AVENIDA COYOACÁN,439 - Amores-Avenida Coyoacán,3240,ACA,BIKE
440,440 REAL DE MAYORAZGO-PUENTE XOCO,440 - Real De Mayorazgo-Puente Xoco,3330,1,BIKE
441,441 PUENTE XOCO-REAL DE MAYORAZGO,441 - Puente Xoco-Real De Mayorazgo,3330,XOC,BIKE
442,442 REAL DE MAYORAZGO-AVENIDA MÉXICO-COYOACAN,442 - Real De Mayorazgo-Avenida México-Coyoacan,3330,XOC,"BIKE,TPV"
